52097129@N03,Let's go,2016-04-26 14:41:59,https://farm2.staticflickr.com/1547/26061068163_34b46fde3a.jpg,53.723802,-1.376020,Castleford,
91477248@N03,Hand Plant,2012-11-17 15:32:35,https://farm9.staticflickr.com/8071/8304989603_d774854d73.jpg,53.794490,-1.546579,Leeds,
30172894@N08,,2011-03-24 22:26:20,https://farm6.staticflickr.com/5055/5556571093_a2ec4e84d7.jpg,53.810516,-1.566038,Leeds,
91477248@N03,Nick Binnington: Wall Drop-in,2013-01-10 18:52:45,https://farm9.staticflickr.com/8491/8369006522_7116e13e93.jpg,53.800346,-1.549748,Leeds,
91477248@N03,Brandon Marritt - Massive kickflip,2012-12-27 16:01:25,https://farm9.staticflickr.com/8353/8319109336_6cdcf5d9cc.jpg,53.785541,-1.534133,Leeds,
65731167@N05,Scouse FS 180,2012-09-25 14:58:04,https://farm9.staticflickr.com/8174/8023247934_cd234dd1c2.jpg,53.630910,-1.777617,Huddersfield,
65731167@N05,Scouse BS Disaster,2012-09-23 13:16:41,https://farm9.staticflickr.com/8309/8023114684_d0802f60f2.jpg,53.630910,-1.777617,Huddersfield,
87201775@N08,No skateboarding or rollerblading.,2010-09-28 01:35:49,https://farm9.staticflickr.com/8175/7980096107_4198e4cbb7.jpg,53.797064,-1.752555,Bradford,
50208791@N08,Paul & Colin,2012-04-01 15:40:04,https://farm8.staticflickr.com/7118/7042464429_f05c20ba52.jpg,53.812080,-1.562376,Leeds,
30172894@N08,Zak Saleh - Nose slide,2011-05-23 16:27:57,https://farm6.staticflickr.com/5148/5751329760_4e4c49f2de.jpg,53.791740,-1.330410,Leeds,
62855149@N00,Zoom Blur Skater,2009-10-17 15:01:58,https://farm6.staticflickr.com/5011/5489960805_c45f877372.jpg,53.650482,-1.800867,Huddersfield,
30172894@N08,hippie jump hyde,2011-01-03 22:05:05,https://farm6.staticflickr.com/5084/5321733754_a10a2c3d0a.jpg,53.809546,-1.556260,Leeds,
30172894@N08,wapo - tail slide,2011-01-03 22:18:08,https://farm6.staticflickr.com/5081/5321733122_ea9f73236f.jpg,53.808919,-1.555466,Leeds,
30172894@N08,Saltaire,2010-11-22 14:00:57,https://farm6.staticflickr.com/5122/5197888641_cdea4a6407.jpg,53.841038,-1.786093,Shipley,
15344660@N07,Indoor Skating 2010 - 1,2010-10-25 22:09:42,https://farm2.staticflickr.com/1198/5123978609_eb5b3d86eb.jpg,53.838505,-1.532008,Leeds,
15344660@N07,Indoor Skating 2010 - 2,2010-10-25 22:09:09,https://farm5.staticflickr.com/4046/5124568390_74782bbd73.jpg,53.838505,-1.532008,Leeds,
15344660@N07,Indoor Skating 2010 - 3,2010-10-25 22:02:43,https://farm2.staticflickr.com/1124/5124568180_c614a735f4.jpg,53.838505,-1.532008,Leeds,
15344660@N07,Indoor Skating 2010 - 4,2010-10-25 21:56:18,https://farm5.staticflickr.com/4009/5123962325_7a5fff3863.jpg,53.838505,-1.532008,Leeds,
15344660@N07,Indoor Skating 2010 - 5,2010-10-25 21:55:43,https://farm2.staticflickr.com/1227/5124567858_7edde92041.jpg,53.838505,-1.532008,Leeds,
30172894@N08,melon transfer,2010-09-01 15:58:47,https://farm5.staticflickr.com/4135/4948397301_198d580e84.jpg,53.791740,-1.330410,Leeds,
30172894@N08,NBD's,2010-04-29 12:21:45,https://farm5.staticflickr.com/4048/4563024560_74d47014f0.jpg,53.669285,-1.537356,Wakefield,
30172894@N08,aiden gap at ossett,2010-04-16 16:10:41,https://farm5.staticflickr.com/4059/4526162058_7c06180a93.jpg,53.683606,-1.580765,Ossett,
33912676@N05,Skater - St George's Square,2009-10-10 16:18:13,https://farm3.staticflickr.com/2661/3998649091_f4be9e925b.jpg,53.648644,-1.784012,Huddersfield,
32154773@N06,Brighouse Skateboarding Festival 2009,2009-07-04 12:54:40,https://farm4.staticflickr.com/3615/3687813785_8854fff000.jpg,53.704201,-1.776437,Brighouse,
15344660@N07,Indoor Skating - Cinema 1,2008-02-27 12:08:09,https://farm4.staticflickr.com/3212/2301290362_cb3fed663e.jpg,53.804915,-1.581666,Leeds,
15344660@N07,Indoor Skating - Cinema 2,2008-02-27 12:09:04,https://farm3.staticflickr.com/2295/2301290034_6c5bf7fcee.jpg,53.804915,-1.581666,Leeds,
15344660@N07,Indoor Skating: Part 2.3,2007-10-29 19:41:37,https://farm3.staticflickr.com/2302/1812466784_7d7a9a4f78.jpg,53.805054,-1.565841,Leeds,
15344660@N07,Indoor Skating: Part 2.2,2007-10-29 19:49:28,https://farm3.staticflickr.com/2321/1811605243_7fdd49c1ff.jpg,53.805054,-1.565841,Leeds,
15344660@N07,Indoor Skating: Part 2.1 [Explored],2007-10-29 19:45:19,https://farm3.staticflickr.com/2132/1811599931_38deab486c.jpg,53.805054,-1.565841,Leeds,
15344660@N07,Indoor Skating,2007-10-19 04:21:30,https://farm3.staticflickr.com/2033/1626618739_cdf1a85e2d.jpg,53.805054,-1.565841,Leeds,
96413675@N00,Superman on a skateboard,2004-08-07 14:10:17,https://farm1.staticflickr.com/37/94638764_e70007c576.jpg,53.810838,-1.560852,Leeds,
96413675@N00,Put your arms up in the air!,2004-08-07 14:08:44,https://farm1.staticflickr.com/43/94638628_9334edb1ba.jpg,53.810838,-1.560852,Leeds,
96413675@N00,Yo,2004-08-07 14:08:27,https://farm1.staticflickr.com/32/94638504_fc0b914614.jpg,53.810838,-1.560852,Leeds,
